id,name,short,category,family,package,fn,engine,level,status,structures_text,diagnostics_text
descriptive,Descriptive Statistics,"Summary tables, distributions and data-quality review",Foundations,foundations,base,summary,Offline + webR,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
frequency,Frequency Tables,"Counts, percentages and categorical summaries",Foundations,foundations,base,table,native R,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
correlation,Pearson Correlation,Linear association matrix for numeric variables,Foundations,foundations,stats,cor,Offline + webR,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
spearman-correlation,Spearman Rank Correlation,Rank-based monotonic association,Foundations,foundations,stats,cor,native R,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
kendall-correlation,Kendall Rank Correlation,Concordance-based rank association,Foundations,foundations,stats,cor,native R,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
covariance,Covariance Matrix,Joint variation across selected variables,Foundations,foundations,stats,cov,Offline + webR,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
one-sample-t,One-Sample t Test,Compare a sample mean with a reference value,Foundations,foundations,stats,t.test,native R,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
independent-t,Independent-Samples t Test,Compare means across two independent groups,Foundations,foundations,stats,t.test,native R,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
paired-t,Paired-Samples t Test,Compare means for paired observations,Foundations,foundations,stats,t.test,native R,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
wilcoxon,Wilcoxon Rank-Sum Test,Non-parametric two-group comparison,Foundations,foundations,stats,wilcox.test,native R,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
paired-wilcoxon,Wilcoxon Signed-Rank Test,Non-parametric paired comparison,Foundations,foundations,stats,wilcox.test,native R,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
anova,One-Way ANOVA,Compare means across multiple groups,Foundations,foundations,stats,aov,native R,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
ancova,ANCOVA,Group comparison with continuous controls,Foundations,foundations,stats,aov,native R,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
manova,MANOVA,Joint comparison of multiple outcomes,Foundations,foundations,stats,manova,native R,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
chi-square,Chi-Square Test,Test independence or goodness of fit,Foundations,foundations,stats,chisq.test,native R,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
pca,Principal Component Analysis,Dimension reduction using orthogonal components,Foundations,foundations,stats,prcomp,native R,Beginner,Method-aware adapter,Cross-section | Time series | Panel,Missingness review | Outlier review
