year,gdp_growth,net_migration,trade_openess,investment,inflation,real_gdp_index
1981,1.848,-0.238,34.548,22.614,13.411,122.218
1982,3.245,-0.076,36.987,23.666,14.746,126.184
1983,3.242,-0.097,33.923,22.877,17.305,130.274
1984,1.876,-0.307,34.837,20.929,18.555,132.718
1985,2.935,-0.277,40.369,23.182,18.91,136.614
1986,3.982,-0.133,43.676,22.687,19.651,142.053
1987,3.405,-0.213,40.36,22.796,17.561,146.889
1988,3.903,-0.262,39.818,23.302,19.491,152.623
1989,2.846,-0.379,43.132,24.238,16.688,156.966
1990,1.546,-0.213,42.034,21.578,20.895,159.393
1991,3.522,-0.101,39.99,23.916,18.136,165.007
1992,1.464,-0.186,43.724,25.66,18.084,167.422
1993,1.707,-0.352,42.012,23.084,16.121,170.28
1994,3.337,-0.375,38.611,25.202,12.237,175.961
1995,3.102,-0.502,38.474,24.14,15.566,181.419
1996,3.55,-0.068,43.681,21.853,9.449,187.859
1997,3.908,-0.126,44.229,23.436,10.781,195.201
1998,3.783,-0.085,42.796,20.725,10.785,202.586
1999,3.241,-0.417,41.003,21.522,4.572,209.152
2000,2.927,-0.134,41.536,20.376,11.348,215.273
2001,2.533,-0.063,37.486,22.399,9.953,220.726
2002,4.224,-0.306,36.183,22.548,8.751,230.049
2003,2.541,-0.216,32.23,20.464,13.843,235.894
2004,1.714,-0.049,31.797,22.41,10.773,239.938
2005,3.458,-0.097,34.993,21.244,10.793,248.235
2006,2.996,-0.221,32.817,20.473,14.162,255.671
2007,4.772,-0.132,32.193,20.143,16.393,267.871
2008,3.404,-0.202,29.007,19.532,16.998,276.989
2009,1.114,-0.508,32.62,20.465,16.511,280.074
2010,3.004,-0.252,28.74,20.493,18.676,288.488
2011,1.701,-0.157,32.577,19.456,19.339,293.396
2012,1.522,-0.527,27.195,19.932,18.744,297.862
2013,3.035,-0.086,26.946,18.971,21.267,306.903
2014,2.599,-0.241,26.293,18.547,22.042,314.879
2015,2.7,-0.374,29.261,17.624,20.504,323.38
2016,2.923,-0.218,29.718,21.341,13.692,332.833
2017,3.668,-0.016,27.553,21.611,17.894,345.04
2018,2.581,-0.09,25.986,25.062,14.194,353.945
2019,1.148,-0.123,29.41,22.946,13.929,358.007
2020,1.423,-0.323,27.848,23.168,8.931,363.103
2021,2.808,-0.313,33.637,23.644,14.193,373.298
2022,5.019,-0.307,34.873,23.965,7.704,392.034
2023,2.918,-0.031,28.821,23.101,11.874,403.473
2024,2.348,-0.02,34.701,24.025,7.764,412.947
