firm,year,roa,liquidity,capital_adequacy,leverage,size
F01,2012,0.13666,0.6876,0.1329,0.1518,12.3197
F01,2013,0.12864,0.8523,0.1348,0.7679,12.335
F01,2014,0.14822,1.085,0.1128,0.3982,12.3796
F01,2015,0.13112,0.9573,0.1368,0.4263,12.4096
F01,2016,0.13964,0.9736,0.1425,0.481,12.4177
F01,2017,0.11387,0.67,0.1959,0.5534,12.4431
F01,2018,0.14438,1.0353,0.1644,0.421,12.484
F01,2019,0.11144,0.6711,0.1045,0.4724,12.5307
F01,2020,0.11963,0.5217,0.1549,0.413,12.5732
F01,2021,0.11939,0.7385,0.1499,0.3657,12.6556
F01,2022,0.13233,0.8305,0.0829,0.4425,12.6633
F01,2023,0.12563,0.7908,0.1465,0.3063,12.6776
F01,2024,0.12501,1.1182,0.1405,0.4216,12.7603
F02,2012,0.13028,0.864,0.1439,0.345,12.5787
F02,2013,0.12654,0.8719,0.2067,0.5299,12.6352
F02,2014,0.13483,0.9972,0.2058,0.1999,12.6678
F02,2015,0.08423,0.4132,0.1764,0.6828,12.7684
F02,2016,0.13886,1.215,0.1558,0.5328,12.8224
F02,2017,0.12312,0.7804,0.1702,0.3413,12.883
F02,2018,0.11142,0.5765,0.1474,0.4266,12.9453
F02,2019,0.13586,0.6148,0.2533,0.3476,13.0138
F02,2020,0.14531,0.9367,0.1768,0.1388,13.0959
F02,2021,0.11989,0.9149,0.092,0.4419,13.1617
F02,2022,0.1334,1.0916,0.2233,0.3658,13.1667
F02,2023,0.14351,0.8404,0.1461,0.485,13.1823
F02,2024,0.11181,0.5373,0.1129,0.5745,13.2649
F03,2012,0.12829,0.6517,0.1976,0.3498,12.1909
F03,2013,0.13346,0.9953,0.1612,0.551,12.2429
F03,2014,0.15218,0.8568,0.1889,0.4828,12.2686
F03,2015,0.15062,1.0509,0.1741,0.4149,12.3294
F03,2016,0.13985,1.1559,0.1655,0.4604,12.354
F03,2017,0.13868,0.8811,0.2108,0.1732,12.4226
F03,2018,0.12698,0.9115,0.1298,0.508,12.4245
F03,2019,0.11964,0.7778,0.1871,0.5593,12.4305
F03,2020,0.13755,0.7577,0.1696,0.3578,12.477
F03,2021,0.1391,0.6312,0.1676,0.4447,12.526
F03,2022,0.14408,0.7143,0.135,0.2462,12.567
F03,2023,0.16358,0.8325,0.1342,0.382,12.6136
F03,2024,0.12638,0.6424,0.1524,0.3734,12.6746
F04,2012,0.13875,0.5432,0.1666,0.4508,12.7622
F04,2013,0.13576,0.8054,0.1899,0.5439,12.8156
F04,2014,0.12699,0.7465,0.184,0.4566,12.8293
F04,2015,0.11244,0.4779,0.1447,0.4506,12.8191
F04,2016,0.11803,0.9246,0.1581,0.5182,12.8533
F04,2017,0.13055,0.9135,0.1983,0.6693,12.8712
F04,2018,0.15317,0.9717,0.1927,0.2317,12.8638
F04,2019,0.10193,0.4124,0.0961,0.5256,12.8771
